transportador_codigo;tabela_nome;validade_inicio;validade_fim;cidade_ibge;prazo_adicional
001;KAMER - AC;01/03/2022;31/12/2099;2913705;13
001;KAMER - AC;01/03/2022;31/12/2099;2913606;13
001;KAMER - AC;01/03/2022;31/12/2099;2913507;13
001;KAMER - AC;01/03/2022;31/12/2099;2913457;13
001;KAMER - AC;01/03/2022;31/12/2099;2913408;13
001;KAMER - AC;01/03/2022;31/12/2099;2913309;13
001;KAMER - AC;01/03/2022;31/12/2099;2913200;13
001;KAMER - AC;01/03/2022;31/12/2099;2913101;13
001;KAMER - AC;01/03/2022;31/12/2099;2913002;13
001;KAMER - AC;01/03/2022;31/12/2099;2912905;13
001;KAMER - AC;01/03/2022;31/12/2099;2912806;13
001;KAMER - AC;01/03/2022;31/12/2099;2912707;13
001;KAMER - AC;01/03/2022;31/12/2099;2912608;13
001;KAMER - AC;01/03/2022;31/12/2099;2912509;13
001;KAMER - AC;01/03/2022;31/12/2099;2912400;13
001;KAMER - AC;01/03/2022;31/12/2099;2912301;13
001;KAMER - AC;01/03/2022;31/12/2099;2912202;13
001;KAMER - AC;01/03/2022;31/12/2099;2912103;13
001;KAMER - AC;01/03/2022;31/12/2099;2912004;13
001;KAMER - AC;01/03/2022;31/12/2099;2911907;13
001;KAMER - AC;01/03/2022;31/12/2099;2911857;13
001;KAMER - AC;01/03/2022;31/12/2099;2911808;13
001;KAMER - AC;01/03/2022;31/12/2099;2911709;13
001;KAMER - AC;01/03/2022;31/12/2099;2911659;13
001;KAMER - AC;01/03/2022;31/12/2099;2911600;13
001;KAMER - AC;01/03/2022;31/12/2099;2911501;13
001;KAMER - AC;01/03/2022;31/12/2099;2911402;13
001;KAMER - AC;01/03/2022;31/12/2099;2911303;13
001;KAMER - AC;01/03/2022;31/12/2099;2911253;13
001;KAMER - AC;01/03/2022;31/12/2099;2911204;13
001;KAMER - AC;01/03/2022;31/12/2099;2911105;13
001;KAMER - AC;01/03/2022;31/12/2099;2911006;13
001;KAMER - AC;01/03/2022;31/12/2099;2920908;13
001;KAMER - AC;01/03/2022;31/12/2099;2920809;13
001;KAMER - AC;01/03/2022;31/12/2099;2920700;13
001;KAMER - AC;01/03/2022;31/12/2099;2920601;13
001;KAMER - AC;01/03/2022;31/12/2099;2920502;13
001;KAMER - AC;01/03/2022;31/12/2099;2920452;13
001;KAMER - AC;01/03/2022;31/12/2099;2920403;13
001;KAMER - AC;01/03/2022;31/12/2099;2920304;13
001;KAMER - AC;01/03/2022;31/12/2099;2920205;13
001;KAMER - AC;01/03/2022;31/12/2099;2920106;13
001;KAMER - AC;01/03/2022;31/12/2099;2920007;13
001;KAMER - AC;01/03/2022;31/12/2099;2919959;13
001;KAMER - AC;01/03/2022;31/12/2099;2919926;13
001;KAMER - AC;01/03/2022;31/12/2099;2919900;13
001;KAMER - AC;01/03/2022;31/12/2099;2919801;13
001;KAMER - AC;01/03/2022;31/12/2099;2919702;13
001;KAMER - AC;01/03/2022;31/12/2099;2919603;13
001;KAMER - AC;01/03/2022;31/12/2099;2919504;13
001;KAMER - AC;01/03/2022;31/12/2099;2919405;13
001;KAMER - AC;01/03/2022;31/12/2099;2919306;13
001;KAMER - AC;01/03/2022;31/12/2099;2919207;13
001;KAMER - AC;01/03/2022;31/12/2099;2919157;13
001;KAMER - AC;01/03/2022;31/12/2099;2919108;13
001;KAMER - AC;01/03/2022;31/12/2099;2919058;13
001;KAMER - AC;01/03/2022;31/12/2099;2919009;13
001;KAMER - AC;01/03/2022;31/12/2099;2918902;13
001;KAMER - AC;01/03/2022;31/12/2099;2918803;13
001;KAMER - AC;01/03/2022;31/12/2099;2918753;13
001;KAMER - AC;01/03/2022;31/12/2099;2918704;13
001;KAMER - AC;01/03/2022;31/12/2099;2918605;13
001;KAMER - AC;01/03/2022;31/12/2099;2918555;13
001;KAMER - AC;01/03/2022;31/12/2099;2918506;13
001;KAMER - AC;01/03/2022;31/12/2099;2918456;13
001;KAMER - AC;01/03/2022;31/12/2099;2918407;13
001;KAMER - AC;01/03/2022;31/12/2099;2918357;13
001;KAMER - AC;01/03/2022;31/12/2099;2918308;13
001;KAMER - AC;01/03/2022;31/12/2099;2918100;13
001;KAMER - AC;01/03/2022;31/12/2099;2918001;13
001;KAMER - AC;01/03/2022;31/12/2099;2917904;13
001;KAMER - AC;01/03/2022;31/12/2099;2917805;13
001;KAMER - AC;01/03/2022;31/12/2099;2917706;13
001;KAMER - AC;01/03/2022;31/12/2099;2917607;13
001;KAMER - AC;01/03/2022;31/12/2099;2917508;13
001;KAMER - AC;01/03/2022;31/12/2099;2917409;13
001;KAMER - AC;01/03/2022;31/12/2099;2917359;13
001;KAMER - AC;01/03/2022;31/12/2099;2917334;13
001;KAMER - AC;01/03/2022;31/12/2099;2917300;13
001;KAMER - AC;01/03/2022;31/12/2099;2917201;13
001;KAMER - AC;01/03/2022;31/12/2099;2917102;13
001;KAMER - AC;01/03/2022;31/12/2099;2917003;13
001;KAMER - AC;01/03/2022;31/12/2099;2916906;13
001;KAMER - AC;01/03/2022;31/12/2099;2916856;13
001;KAMER - AC;01/03/2022;31/12/2099;2916807;13
001;KAMER - AC;01/03/2022;31/12/2099;2916708;13
001;KAMER - AC;01/03/2022;31/12/2099;2916609;13
