transportador_codigo,tabela_nome,validade_inicio,validade_fim,tarifa_codigo,cidade_ibge,prazo_entrega_dias
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901502,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901403,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2901353,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910909,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910859,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910800,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910776,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910750,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910727,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910701,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910602,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2900504,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910503,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910404,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910305,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910206,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910107,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910057,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2910008,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909901,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909802,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909703,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909604,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909505,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909406,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909307,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909208,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909109,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2909000,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908903,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908804,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908705,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908606,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908507,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908408,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908309,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908200,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908101,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2908002,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907905,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907806,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907707,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907608,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907558,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907509,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907400,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907301,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907202,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907103,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2907004,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906907,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906899,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906873,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906857,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906824,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906808,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906709,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906600,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906501,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906402,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906303,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2906204,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916203,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916104,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2916005,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915908,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915809,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915700,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915601,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915502,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915403,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915353,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915304,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915205,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915106,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2915007,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914901,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914802,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914703,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914653,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914604,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914505,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914406,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914307,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914208,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914109,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2914000,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913903,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913804,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913705,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913606,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913507,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913457,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913408,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913309,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913200,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913101,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2913002,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912905,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912806,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912707,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912608,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912509,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912400,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912301,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912202,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912103,13
0001,Tabela de frete (0001 - Kamer),01/03/2022,31/12/2099,TAR0001,2912004,13
